id,price,raw_price_text,product_name,slug,merchant_name,price_type
127617,152.4,"152.40 DH","SanDisk ULTRA FLAIR lecteur USB flash 128 Go USB Type-A 3.2 Gen 1 (3.1 Gen 1) Noir, Argent",san-disk-ultra-flair-lecteur-usb-flash-128-go-usb-type-a-3-2-gen-1-3-1-gen-1-noir-argent,"Shared Store",has_dot
144639,152.57,"152.57 DH","L’Oréal Paris PRO XXL Lift 12 ml",l-oreal-paris-pro-xxl-lift-12-ml,"UNIVERS PARADISCOUNT Maroc",has_dot
119028,152.63,"152.63 DH","Apres Shampooing Reparateur Cheveux Secs 200ml Luxeol",apres-shampooing-reparateur-cheveux-secs-200ml-luxeol,"UNIVERS PARADISCOUNT Maroc",has_dot
119029,152.63,"152.63 DH","Apres Shampooing Fortifiant Cheveux Normaux 200ml Luxeol",apres-shampooing-fortifiant-cheveux-normaux-200ml-luxeol,"UNIVERS PARADISCOUNT Maroc",has_dot
124279,152.99,"152.99 DH","Samsung EO-IC100B Casque Avec fil Ecouteurs Appels/Musique Blanc",samsung-eo-ic100b-casque-avec-fil-ecouteurs-appels-musique-blanc,Technoplace,has_dot
119527,153.11,"153.11 DH","Uriage Dépiderm Brightening Cleansing Foam 100 ml",uriage-depiderm-brightening-cleansing-foam-100-ml,"Para La Gloire",has_dot
119446,153.12,"153.12 DH","Solution Micellaire Apaisante 400 ml Placentor Végétal",solution-micellaire-apaisante-400-ml-placentor-vegetal,"New Era Parapharmacie",has_dot
119878,153.17,"153.17 DH","Gel Moussant Emollient Peaux A Tendance Atopique 500ml Exomega Control A-Derma",gel-moussant-emollient-peaux-a-tendance-atopique-500ml-exomega-control-a-derma,"BebeMaman Maroc",has_dot
117825,153.34,"153.34 DH","HP Souris sans fil X200",hp-souris-sans-fil-x200,Technoplace,has_dot
117687,153.44,"153.44 DH","Logitech M190 Full-Size Wireless Mouse",logitech-m190-full-size-wireless-mouse,Technoplace,has_dot
120879,153.45,"153.45 DH","Dermedic Capilarte 300 ml",dermedic-capilarte-300-ml,"New Era Parapharmacie",has_dot
122148,153.52,"153.52 DH","Soin Hydratant Texture Légère 40ml Hydrabio Peaux Sensibles Normales à Mixtes Bioderma",soin-hydratant-texture-legere-40ml-hydrabio-peaux-sensibles-normales-a-mixtes-bioderma,"GoPara Maroc",has_dot
120670,153.6,"153.60 DH","Erayba Nutriactive N16 Collastin Conditioner Vegan 250ml",erayba-nutriactive-n16-collastin-conditioner-vegan-250ml,"New Era Parapharmacie",has_dot
124622,153.6,"153.60 DH","Pantone PT-WH002L écouteur/casque Avec fil &sans fil Arceau Appels/Musique Micro-USB Bluetooth Noir, Bleu",pantone-pt-wh002l-ecouteur-casque-avec-fil-sans-fil-arceau-appels-musique-micro-usb-bluetooth-noir-bleu,Technoplace,has_dot
